condition,n_workers,step,steps_per_sec_mean,steps_per_sec_std
full-aug,4,10800,2.1147639255078534,0.10591870031280645
full-aug,4,11000,2.0519277430470177,0.11760359473928565
full-aug,4,11200,2.08556172535682,0.10809810761338642
full-aug,4,11400,2.1122880023619706,0.1153173753746062
full-aug,4,11600,2.0936173831249394,0.14075414836432137
full-aug,4,11800,2.099178004747686,0.10860155465783701
full-aug,4,12000,2.092821227331013,0.09789702366400509
full-aug,4,12200,2.0900901193228627,0.1066091651637013
full-aug,4,12400,2.0919168169119104,0.12164026359706338
full-aug,4,12600,2.0890874360778886,0.12710949127457064
full-aug,4,12800,2.082200038869017,0.1124938918378201
full-aug,4,13000,2.0635773075905837,0.09798585765096694
full-aug,4,13200,2.108746355851727,0.10137282420070629
full-aug,4,13400,2.104270395591539,0.10004603899723816
full-aug,4,13600,2.0822663111164217,0.10576879450819048
full-aug,4,13800,2.11756119600271,0.10369457591285967
full-aug,4,14000,2.0263124517745377,0.15599457408632017
full-aug,4,14200,2.3205076642267164,0.3500325040670995
full-aug,4,14400,2.3843596448907403,0.35173587252929106
full-aug,4,14600,2.0727293563164335,0.33054063995407545
full-aug,4,14800,2.2839471420659385,
full-aug,4,15000,2.2671245903821253,
full-aug,4,15200,2.2618348075937718,
full-aug,4,15400,2.3343700035486994,
full-aug,4,15600,2.2926297786590735,
norm-only,4,200,4.154645123629795,0.2690214180491811
norm-only,4,400,4.081419153980284,0.11912247163644687
norm-only,4,600,4.143712041485408,0.0869126533174952
norm-only,4,800,4.129166266926203,0.1781752816102115
norm-only,4,1000,3.763751535034897,0.09314570122683163
norm-only,4,1200,4.204190113625637,0.13240785009400352
norm-only,4,1400,4.1244568837645605,0.15014440627148737
norm-only,4,1600,4.166622233312924,0.09067592535647805
norm-only,4,1800,4.19226053079196,0.061147247564193645
norm-only,4,2000,3.7497162715506924,0.11392730356859766
norm-only,4,2200,4.129588203045431,0.1098385611892128
norm-only,4,2400,4.150816373594221,0.06987113958239334
norm-only,4,2600,4.116653045916805,0.12924741590169006
norm-only,4,2800,4.158812178905576,0.12555191476650435
norm-only,4,3000,3.777422139758103,0.08699214709757211
norm-only,4,3200,4.1971649080561075,0.09541472474438238
norm-only,4,3400,4.25098788688107,0.08232830229103445
norm-only,4,3600,4.22184167588289,0.07227306681094942
norm-only,4,3800,4.290632961502238,0.09874621661814152
norm-only,4,4000,3.7422460546409475,0.039067260105545475
norm-only,4,4200,4.170976984017365,0.08041132247933275
norm-only,4,4400,4.212723736372811,0.0652694190730395
norm-only,4,4600,4.265747314052795,0.09345000225763203
norm-only,4,4800,4.233286808312237,0.034572957301589345
norm-only,4,5000,3.772989219664433,0.07806155451330667
norm-only,4,5200,4.218482242780633,0.07096542057097013
norm-only,4,5400,4.1491284190339766,0.13794989306836283
norm-only,4,5600,4.167289126555365,0.07850506152730949
norm-only,4,5800,4.198047138037795,0.08037843860129341
norm-only,4,6000,3.769229016003636,0.08270341949714421
norm-only,4,6200,4.167391124395295,0.11822386121698511
norm-only,4,6400,4.2798397316892505,0.1054273672763205
norm-only,4,6600,4.328082892441179,0.10711471766944435
norm-only,4,6800,4.278242889381553,0.1194031494502614
norm-only,4,7000,3.7225722807833064,0.09076623645087611
norm-only,4,7200,4.143086820642246,0.11975588476253618
norm-only,4,7400,4.196700188067164,0.056599912221621244
norm-only,4,7600,4.200854697193709,0.04712812339827562
norm-only,4,7800,4.242232463923715,0.0649993606795189
norm-only,4,8000,3.7756897983971873,0.08616419056074047
norm-only,4,8200,4.201948358308064,0.1080859980370953
norm-only,4,8400,4.192860398308714,0.12067230032014413
norm-only,4,8600,4.263689028641082,0.06502049253979426
norm-only,4,8800,4.232762496523599,0.12259934770901013
norm-only,4,9000,3.7208093725424822,0.14021877266495422
norm-only,4,9200,4.084621798488003,0.162486729754486
norm-only,4,9400,4.156762415287052,0.07247169720104825
norm-only,4,9600,4.176247516804546,0.1421709353075924
norm-only,4,9800,4.159708803578303,0.18070796274814963
norm-only,4,10000,3.729535545077917,0.10247442723376449
norm-only,4,10200,4.132212579845607,0.15869468131344575
norm-only,4,10400,4.112453441015064,0.133964543713747
norm-only,4,10600,4.099148751775379,0.13383120597829337
norm-only,4,10800,4.1222703560533,0.19473086501339332
norm-only,4,11000,3.68532960862633,0.09737796917011857
norm-only,4,11200,4.114959422782716,0.1822613075529664
norm-only,4,11400,4.082123680264057,0.22145904610135408
norm-only,4,11600,4.059719045898601,0.20202617597107514
norm-only,4,11800,4.102864510499152,0.13674258684492205
norm-only,4,12000,3.6867000343643213,0.17626464974439696
norm-only,4,12200,4.013398964598488,0.17515942454141892
norm-only,4,12400,4.1381357416321025,0.12021821246416589
norm-only,4,12600,4.150034664737317,0.07132169073904675
norm-only,4,12800,4.155961187666953,0.0810341141522157
norm-only,4,13000,3.750344126455203,0.14531312983824338
norm-only,4,13200,4.133040828337537,0.12316435416989138
norm-only,4,13400,4.130636368656509,0.09562433775285305
norm-only,4,13600,4.16270917156856,0.1263918110775561
norm-only,4,13800,4.238935466307732,0.18010930560367985
norm-only,4,14000,3.736055703802761,0.11485537079120599
norm-only,4,14200,4.118670962456543,0.05419432791206421
norm-only,4,14400,4.068560115552989,0.07681494739793698
norm-only,4,14600,4.114614973754895,0.14368658730556194
norm-only,4,14800,4.063822973412025,0.08754740138187131
norm-only,4,15000,3.6909035097044964,0.07162386411509399
norm-only,4,15200,3.970355681553792,0.228832925417365
norm-only,4,15400,3.972722050096562,0.2411873252025494
norm-only,4,15600,4.0018135264773615,0.2172737479642138
norm-only,4,15800,3.9793545764453517,0.15986706901978603
norm-only,4,16000,3.68410291499886,0.06595116072125923
norm-only,4,16200,3.9954512164098803,0.15175524044000924
norm-only,4,16400,3.996703179664311,0.13942766286880284
norm-only,4,16600,3.941662207279587,0.24523945398937905
norm-only,4,16800,4.006012127556079,0.20873086573484262
norm-only,4,17000,3.622422887626655,0.1266828291595754
norm-only,4,17200,3.996004401248251,0.17588523479280346
norm-only,4,17400,4.105809344746116,0.1631363383575868
norm-only,4,17600,4.094609353368594,0.18971572108328452
norm-only,4,17800,4.12438232554724,0.10171462460650035
norm-only,4,18000,3.6454476618804796,0.13309871722319122
norm-only,4,18200,4.0915746119389285,0.12845848062266285
norm-only,4,18400,4.182808279468016,0.04033785160001693
norm-only,4,18600,4.133866208614085,0.07911936900939867
norm-only,4,18800,4.205964251746368,0.0669807614654606
norm-only,4,19000,3.772978692676962,0.10661976277668765
norm-only,4,19200,4.156504245697624,0.08584337658557396
norm-only,4,19400,4.1470553734570075,0.10823540964152485
norm-only,4,19600,4.180622131704454,0.2008599649430778
norm-only,4,19800,4.1307291859245865,0.06526880033962626
norm-only,4,20000,3.6884539409225487,0.05721290799699317
norm-only,4,20200,4.036477991032237,0.14233336888594242
norm-only,4,20400,4.04481868510433,0.14317929323412637
norm-only,4,20600,4.094930021224216,0.229666378118847
norm-only,4,20800,4.153681465976591,0.06163180687112209
norm-only,4,21000,3.7253191232307756,0.0674885895927571
norm-only,4,21200,4.137325667921091,0.08895565150494426
norm-only,4,21400,4.1294499304194385,0.10910181947180393
norm-only,4,21600,4.145121963929614,0.1951588081421231
norm-only,4,21800,4.099229526069789,0.24182245892163015
norm-only,4,22000,3.7472486693257006,0.11629871420528194
norm-only,4,22200,4.119094969337032,0.09122459851511767
norm-only,4,22400,4.161569979739732,0.08483701563109973
norm-only,4,22600,4.188667289293847,0.12339912154628803
norm-only,4,22800,4.2088251142378565,0.10051061670089875
norm-only,4,23000,3.735428757018389,0.12742009582204866
norm-only,4,23200,4.119356782755433,0.08886238278199832
norm-only,4,23400,4.200142249981258,0.1288011469687694
norm-only,4,23600,4.154562894940826,0.144747535499415
norm-only,4,23800,4.149245078099811,0.08410095383848515
norm-only,4,24000,3.7410890937952552,0.14829266223958967
norm-only,4,24200,4.11948915642792,0.06302358440219032
norm-only,4,24400,4.152282985284218,0.10071851011248646
norm-only,4,24600,4.147855207335939,0.08164961473789992
norm-only,4,24800,4.144355223322163,0.0641319913737008
norm-only,4,25000,3.725772360631519,0.09166795734336743
norm-only,4,25200,4.0356207322258015,0.10690514128065862
norm-only,4,25400,4.145528016912953,0.0849544895198904
norm-only,4,25600,4.208798913625846,0.08688132294515306
norm-only,4,25800,4.0669537531227045,0.11402868805907224
norm-only,4,26000,3.7711862534667566,0.0978071378771021
norm-only,4,26200,4.148957155195348,0.08558654945207625
norm-only,4,26400,4.1859132438062225,0.05377528677880259
norm-only,4,26600,4.111856063310113,0.10092865211294949
norm-only,4,26800,4.167539132046107,0.11805415222891946
norm-only,4,27000,3.7043507289050366,0.05938509596184751
norm-only,4,27200,4.118017154346724,0.1385140509606227
norm-only,4,27400,4.147691255158466,0.0685339635493828
norm-only,4,27600,4.135345821968053,0.17402899975482272
norm-only,4,27800,4.819656976377152,1.544150639394973
norm-only,4,28000,7.078429132746643,6.595017245131154
norm-only,4,28200,4.202753494082475,0.03963327724910529
norm-only,4,28400,4.1562945566158165,0.08715073652369744
norm-only,4,28600,4.775157290478424,0.45844461216013865
norm-only,4,28800,4.372986472263106,
