panel,run_id,condition,learning_rate,step,value_raw,value_plot,smoothed
train_loss,7yhh71ob,norm-only,0.001,0,23786.103515625,23786.103515625,true
train_loss,7yhh71ob,norm-only,0.001,200,1557.60302734375,21563.253466796876,true
train_loss,7yhh71ob,norm-only,0.001,400,735.8258666992188,19480.51070678711,true
train_loss,7yhh71ob,norm-only,0.001,600,488.764404296875,17581.33607653809,true
train_loss,7yhh71ob,norm-only,0.001,800,501.2748718261719,15873.329956066898,true
train_loss,7yhh71ob,norm-only,0.001,1000,377.5144348144531,14323.748403941654,true
train_loss,7yhh71ob,norm-only,0.001,1200,351.04315185546875,12926.477878733036,true
train_loss,7yhh71ob,norm-only,0.001,1400,373.3300476074219,11671.163095620474,true
train_loss,7yhh71ob,norm-only,0.001,1600,336.4537048339844,10537.692156541825,true
train_loss,7yhh71ob,norm-only,0.001,1800,280.81884765625,9512.004825653268,true
train_loss,7yhh71ob,norm-only,0.001,2000,300.5628662109375,8590.860629709035,true
train_loss,7yhh71ob,norm-only,0.001,2200,273.79803466796875,7759.154370204929,true
train_loss,7yhh71ob,norm-only,0.001,2400,256.2320251464844,7008.862135699085,true
train_loss,7yhh71ob,norm-only,0.001,2600,195.07286071777344,6327.483208200954,true
train_loss,7yhh71ob,norm-only,0.001,2800,266.59100341796875,5721.393987722656,true
train_loss,7yhh71ob,norm-only,0.001,3000,270.9496154785156,5176.349550498241,true
train_loss,7yhh71ob,norm-only,0.001,3200,201.29132080078125,4678.843727528495,true
train_loss,7yhh71ob,norm-only,0.001,3400,174.39048767089844,4228.398403542736,true
train_loss,7yhh71ob,norm-only,0.001,3600,177.71395874023438,3823.3299590624856,true
train_loss,7yhh71ob,norm-only,0.001,3800,163.08847045898438,3457.3058102021355,true
train_loss,7yhh71ob,norm-only,0.001,4000,155.474365234375,3127.12266570536,true
train_loss,7yhh71ob,norm-only,0.001,4200,172.55535888671875,2831.665935023496,true
train_loss,7yhh71ob,norm-only,0.001,4400,152.4057159423828,2563.7399131153848,true
train_loss,7yhh71ob,norm-only,0.001,4600,152.61790466308594,2322.627712270155,true
train_loss,7yhh71ob,norm-only,0.001,4800,121.82938385009766,2102.5478794281494,true
train_loss,7yhh71ob,norm-only,0.001,5000,188.0277862548828,1911.095870110823,true
train_loss,7yhh71ob,norm-only,0.001,5200,148.35079956054688,1734.8213630557952,true
train_loss,7yhh71ob,norm-only,0.001,5400,162.4617462158203,1577.5854013717978,true
train_loss,7yhh71ob,norm-only,0.001,5600,145.53358459472656,1434.3802196940908,true
train_loss,7yhh71ob,norm-only,0.001,5800,188.01316833496094,1309.7435145581778,true
train_loss,7yhh71ob,norm-only,0.001,6000,101.0113296508789,1188.870296067448,true
train_loss,7yhh71ob,norm-only,0.001,6200,132.79322814941406,1083.2625892756446,true
train_loss,7yhh71ob,norm-only,0.001,6400,104.66495513916016,985.4028258619961,true
train_loss,7yhh71ob,norm-only,0.001,6600,91.49810028076172,896.0123533038727,true
train_loss,7yhh71ob,norm-only,0.001,6800,115.88794708251953,817.9999126817374,true
train_loss,7yhh71ob,norm-only,0.001,7000,103.59004211425781,746.5589256249896,true
train_loss,7yhh71ob,norm-only,0.001,7200,90.14912414550781,680.9179454770414,true
train_loss,7yhh71ob,norm-only,0.001,7400,110.43042755126953,623.8691936844642,true
train_loss,7yhh71ob,norm-only,0.001,7600,105.12442016601562,571.9947163326193,true
train_loss,7yhh71ob,norm-only,0.001,7800,131.42367553710938,527.9376122530683,true
train_loss,7yhh71ob,norm-only,0.001,8000,107.5428237915039,485.8981334069119,true
train_loss,7yhh71ob,norm-only,0.001,8200,132.74366760253906,450.58268682647457,true
train_loss,7yhh71ob,norm-only,0.001,8400,97.06047821044922,415.23046596487205,true
train_loss,7yhh71ob,norm-only,0.001,8600,102.31234741210938,383.9386541095958,true
train_loss,7yhh71ob,norm-only,0.001,8800,86.84339141845703,354.22912784048196,true
train_loss,7yhh71ob,norm-only,0.001,9000,127.63298034667969,331.5695130911017,true
train_loss,7yhh71ob,norm-only,0.001,9200,94.53626251220703,307.86618803321227,true
train_loss,7yhh71ob,norm-only,0.001,9400,110.98516845703125,288.17808607559414,true
