n_samples,scientific_name,dataset,median_length_pct_err,mean_length_pct_err,n
all,Dicaelus sculptilis sculptilis,biorepo,0.87625647,0.9856093,11
all,Scaphinotus angulatus,biorepo,0.86634403,0.86634403,2
all,Sphaeroderus bicarinatus,biorepo,0.8364075,1.0641068,3
all,Pasimachus elongatus,biorepo,0.82067263,0.9310978,6
all,Cychrus tuberculatus,biorepo,0.7562678,1.1772006,16
all,Sphaeroderus stenostomus lecontei,biorepo,0.7428272,1.1555477,23
all,Oxypselaphus pusillus,biorepo,0.71313,1.3678253,4
all,Pasimachus depressus,biorepo,0.69585735,1.1088203,12
all,Leistus ferruginosus,biorepo,0.58246493,0.58246493,1
all,Elaphrus clairvillei,biorepo,0.5775862,0.5775862,1
all,Calosoma scrutator,biorepo,0.5107188,0.5772838,13
all,Acupalpus hydropicus,biorepo,0.49782437,0.49782437,1
all,Myas cyanescens,biorepo,0.46371228,0.93722636,4
all,Patrobus septentrionis,biorepo,0.43470758,0.43470758,1
all,Chlaenius aestivus,biorepo,0.34151113,0.4357979,4
